X;Y;OBJECTID;StopID;EasyGo;Street;CrossStreet;Easting;Northing;Longitude;Latitude;Municipality;Status;RMWID
554069.8269;4804763.8391;5574;13724;1051;Bishop St N;1001 Bishop St N;554069.827;4804763.839;-80.332356;43.393803;Cambridge;Active;BS13724
554710.8459;4804913.0456;4438;12837;3806;Bishop St N;1300 Bishop St N;554710.8459;4804913.0456;-80.32442621;43.39509948;Cambridge;Active;BS12837
554603.1728;4804900.0165;5953;10336;1321;Bishop St N;1315 Bishop St;554603.1728;4804900.01649744;-80.32575698;43.39499001;Cambridge;Active;BS10336
553746.5567;4804677.1981;4149;12928;3878;Bishop St N;690 Bishop St N;553746.55667194;4804677.19814848;-80.33635571;43.39304566;Cambridge;Active;BS12928
553712.6942;4804653.9595;6837;12927;3877;Bishop St N;690 Bishop St N;553712.6942;4804653.9595;-80.33677609;43.39283885;Cambridge;Active;BS12927
554065.5671;4804744.4716;6007;13725;1054;Bishop St N;990 Bishop St N;554065.461;4804744.366;-80.332412;43.393628;Cambridge;Active;BS13725
555000.7627;4805008.4144;5112;10335;1320;Bishop St N;Collier-Macmillan Dr;555000.7627;4805008.41443336;-80.32083695;43.39593696;Cambridge;Active;BS10335
555202.4007;4805005.2062;7607;14024;1275;Bishop St N;Conestoga Blvd;555202.4007;4805005.2062;-80.31834758;43.39589326;Cambridge;Active;BS14024
555228.6412;4805020.7474;7966;14409;4146;Bishop St N;Conestoga Blvd;555228.6412;4805020.7474;-80.31802201;43.39603126;Cambridge;Active;BS14409
555944.0177;4805174.3263;4207;13279;1328;Bishop St N;Cowansview Rd;555944.415;4805173.929;43.397357;-80.309168;Cambridge;Active;BS13279
555928.9364;4805190.5982;5236;13277;1353;Bishop St N;Cowansview Rd;555929.333;4805190.201;-80.309353;43.397505;Cambridge;Active;BS13277
552940.522;4804416.205;4455;10424;1401;Bishop St N;Duke St;552940.522;4804416.20497588;-80.34633297;43.39075302;Cambridge;Active;BS10424
552937.5535;4804391.41;6133;10471;1444;Bishop St N;Duke St;552937.5535;4804391.41002282;-80.34637202;43.39052998;Cambridge;Active;BS10471
556270.0254;4805257.5381;5844;13280;1311;Bishop St N;Franklin Blvd;556270.269;4805257.442;-80.305136;43.398085;Cambridge;Active;BS13280
556203.799;4805257.7045;8481;14962;1351;Bishop St N;Franklin Blvd;556203.799;4805257.7045;-80.30595701;43.39809234;Cambridge;Active;BS14962
554801.7635;4804940.6312;8002;14410;4147;Bishop St N;Hespeler Rd;554801.7635;4804940.6312;-80.32330087;43.39534122;Cambridge;Active;BS14410
554366.7315;4804825.3717;4459;12895;3851;Bishop St N;Industrial Rd;554366.73149635;4804825.37169118;-80.32868379;43.3943351;Cambridge;Active;BS12895
554292.1808;4804821.3725;6153;12894;3850;Bishop St N;Industrial Rd;554292.18081807;4804821.3725052;-80.32960467;43.39430449;Cambridge;Active;BS12894
553519.6037;4804605.0871;6676;13263;2327;Bishop St N;Mary Ave;553520.133;4804604.558;-80.339158;43.392408;Cambridge;Active;BS13263
553493.1454;4804616.1997;7524;13264;2313;Bishop St N;Mary Ave;553493.145;4804616.2;-80.339491;43.392515;Cambridge;Active;BS13264
553121.205;4804505.8167;5685;12866;3835;Bishop St N;Pineview Ave;553121.20496128;4804505.81673567;-80.34409348;43.3915471;Cambridge;Active;BS12866
553108.7043;4804514.365;5994;10472;1445;Bishop St N;Pineview Ave;553108.7043;4804514.3649957;-80.34424699;43.39162496;Cambridge;Active;BS10472
552772.8428;4804158.7774;3896;10425;1402;Bishop St S;Hamilton St;552772.8428;4804158.77737452;-80.34842804;43.38844699;Cambridge;Active;BS10425
552843.702;4804271.992;8290;14729;4157;Bishop St S;King St E;552843.702;4804271.992;-80.34754228;43.38946138;Cambridge;Active;BS14729
554416.9082;4802208.04;7838;14297;1232;Bismark Dr;Westmount Mews;554416.9082;4802208.04;-80.32832448;43.37076536;Cambridge;Active;BS14297
555833.5;4810984.6;7920;14356;1246;Black Bridge Rd;Michigan Ave;555833.5;4810984.6;-80.30994393;43.44968363;Cambridge;Active;BS14356
544125.8464;4804617.414;4152;10853;1820;Black Walnut Dr;Biehn Dr;544125.8464021;4804617.41402036;-80.45514795;43.393135;Kitchener;Active;BS10853
544116.9326;4804630.4614;6087;10867;1834;Black Walnut Dr;Biehn Dr;544116.93264441;4804630.46136461;-80.45525696;43.393253;Kitchener;Active;BS10867
544489.6366;4804422.6637;5413;10855;1822;Black Walnut Dr;Pioneer Dr;544489.63656075;4804422.66366123;-80.45067203;43.39135996;Kitchener;Active;BS10855
544448.2259;4804439.3903;6937;10865;1832;Black Walnut Dr;Pioneer Dr;544448.22593069;4804439.39025659;-80.45118196;43.39151303;Kitchener;Active;BS10865
554855.1081;4801449.8688;4775;11248;2200;Blair Rd;91 Blair Rd;554855.10811647;4801449.86876504;-80.32299201;43.36390698;Cambridge;Active;BS11248
554076.7857;4802273.3922;7828;14298;1233;Blair Rd;Bismark Dr;554076.7857;4802273.3922;-80.33251593;43.37137836;Cambridge;Active;BS14298
554078.3732;4802251.564;7877;14299;2340;Blair Rd;Bismark Dr;554078.3732;4802251.564;-80.33249849;43.37118171;Cambridge;Active;BS14299
553956.7969;4802400.1278;7844;14301;2341;Blair Rd;Clearview Dr;553956.7969;4802400.1278;-80.3339844;43.37252811;Cambridge;Active;BS14301
553995.4261;4802372.6111;7862;14300;1234;Blair Rd;Clearview Dr;553995.4261;4802372.6111;-80.33351032;43.37227757;Cambridge;Active;BS14300
553772.6514;4802547.1854;5336;12835;3805;Blair Rd;Esther Ave;553772.6513982;4802547.18540941;-80.3362428;43.37386541;Cambridge;Active;BS12835
554524.8291;4801760.9554;5334;11247;2199;Blair Rd;Grant Ave;554524.82906904;4801760.95544424;-80.32703699;43.36673202;Cambridge;Active;BS11247
554249.3107;4802066.4933;5777;11245;2197;Blair Rd;Kenmore Ave;554249.31067358;4802066.49325291;-80.33040704;43.36950301;Cambridge;Active;BS11245
550269.0368;4803587.0751;7848;14304;1687;Blair Rd;Langdon Dr;550269.0368;4803587.0751;-80.37939255;43.38347135;Cambridge;Active;BS14304
550316.9405;4803568.8731;7858;14305;1688;Blair Rd;Langdon Dr;550316.9405;4803568.8731;-80.37880285;43.38330425;Cambridge;Active;BS14305
553720.7881;4802552.7927;7898;14302;2342;Blair Rd;Leslie Ave;553720.7881;4802552.7927;-80.3368824;43.37391961;Cambridge;Active;BS14302
549746.9842;4803642.5022;7818;14306;1685;Blair Rd;Old Mill Rd;549746.9842;4803642.5022;-80.38583226;43.38400521;Cambridge;Active;BS14306
549729.9365;4803672.0986;7875;14307;1686;Blair Rd;Old Mill Rd;549729.9365;4803672.0986;-80.38604002;43.38427283;Cambridge;Active;BS14307
554975.8416;4801314.9371;7884;14296;2607;Blair Rd;Park Hill Rd W;554975.8416;4801314.9371;-80.3215156;43.36268324;Cambridge;Active;BS14296
553494.2057;4802656.3632;6949;12822;3792;Blair Rd;Princess St;553494.20572801;4802656.36318659;-80.33966898;43.37486833;Cambridge;Active;BS12822
553434.2438;4802663.1242;7891;14303;2343;Blair Rd;Princess St;553434.2438;4802663.1242;-80.34040844;43.37493348;Cambridge;Active;BS14303
554423.1908;4801874.8623;4853;11246;2198;Blair Rd;Sherwood Ave;554423.19079225;4801874.86225884;-80.32828004;43.367765;Cambridge;Active;BS11246
